CustomerID,FirstName,LastName,Email,Phone,City,Country,PostalCode,SupportRepId
1,Luís,Gonçalves,luisg@embraer.com.br,+55 (12) 3923-5555,São José dos Campos,Brazil,12227-000,3
2,Leonie,Köhler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,Germany,70174,5
3,François,Tremblay,ftremblay@gmail.com,+1 (514) 721-4711,Montréal,Canada,H2G 1A7,3
4,Bjørn,Hansen,bjorn.hansen@yahoo.no,+47 22 44 22 22,Oslo,Norway,0171,4
5,František,Wichterlová,frantisekw@jetbrains.com,+420 2 4172 5555,Prague,Czech Republic,14700,4
6,Helena,Holý,hholy@gmail.com,+420 2 4177 0449,Prague,Czech Republic,14300,5
7,Astrid,Gruber,astrid.gruber@apple.at,+43 01 5134505,Vienne,Austria,1010,5
8,Daan,Peeters,daan_peeters@apple.be,+32 02 219 03 03,Brussels,Belgium,1000,4
9,Kara,Nielsen,kara.nielsen@jubii.dk,+453 3331 9991,Copenhagen,Denmark,1720,4
10,Eduardo,Martins,eduardo@woodstock.com.br,+55 (11) 3033-5446,São Paulo,Brazil,01007-010,4
11,Alexandre,Rocha,alero@uol.com.br,+55 (11) 3055-3278,São Paulo,Brazil,01310-200,5
12,Roberto,Almeida,roberto.almeida@riotur.gov.br,+55 (21) 2271-7000,Rio de Janeiro,Brazil,20040-020,3
13,Fernanda,Ramos,fernadaramos4@uol.com.br,+55 (61) 3363-5547,Brasília,Brazil,71020-677,4
14,Mark,Philips,mphilips12@shaw.ca,+1 (780) 434-4554,Edmonton,Canada,T6G 2C7,5
15,Jennifer,Peterson,jenniferp@rogers.ca,+1 (604) 688-2255,Vancouver,Canada,V6C 1G8,3
16,Frank,Harris,fharris@google.com,+1 (650) 253-0000,Mountain View,USA,94043-1351,4
17,Jack,Smith,jacksmith@microsoft.com,+1 (425) 882-8080,Redmond,USA,98052-8300,5
18,Michelle,Brooks,michelleb@aol.com,+1 (212) 221-3546,New York,USA,10012-2612,3
19,Tim,Goyer,tgoyer@apple.com,+1 (408) 996-1010,Cupertino,USA,95014,3
20,Dan,Miller,dmiller@comcast.com,+1 (650) 644-3358,Mountain View,USA,94040-111,4
21,Kathy,Chase,kachase@hotmail.com,+1 (775) 223-7665,Reno,USA,89503,5
22,Heather,Leacock,hleacock@gmail.com,+1 (407) 999-7788,Orlando,USA,32801,4
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,USA,2113,4
24,Frank,Ralston,fralston@gmail.com,+1 (312) 332-3232,Chicago,USA,60611,3
25,Victor,Stevens,vstevens@yahoo.com,+1 (608) 257-0597,Madison,USA,53703,5
26,Richard,Cunningham,ricunningham@hotmail.com,+1 (817) 924-7272,Fort Worth,USA,76110,4
27,Patrick,Gray,patrick.gray@aol.com,+1 (520) 622-4200,Tucson,USA,85719,4
28,Julia,Barnett,jubarnett@gmail.com,+1 (801) 531-7272,Salt Lake City,USA,84102,5
29,Robert,Brown,robbrown@shaw.ca,+1 (416) 363-8888,Toronto,Canada,M6J 1V1,3
30,Edward,Francis,edfrancis@yachoo.ca,+1 (613) 234-3322,Ottawa,Canada,K2P 1L7,3
31,Martha,Silk,marthasilk@gmail.com,+1 (902) 450-0450,Halifax,Canada,B3S 1C5,5
32,Aaron,Mitchell,aaronmitchell@yahoo.ca,+1 (204) 452-6452,Winnipeg,Canada,R3L 2B9,4
33,Ellie,Sullivan,ellie.sullivan@shaw.ca,+1 (867) 920-2233,Yellowknife,Canada,X1A 1N6,3
34,João,Fernandes,jfernandes@yahoo.pt,+351 (213) 466-111,Lisbon,Portugal,,4
35,Madalena,Sampaio,masampaio@sapo.pt,+351 (225) 022-448,Porto,Portugal,,4
36,Hannah,Schneider,hannah.schneider@yahoo.de,+49 030 26550280,Berlin,Germany,10789,5
37,Fynn,Zimmermann,fzimmermann@yahoo.de,+49 069 40598889,Frankfurt,Germany,60316,3
38,Niklas,Schröder,nschroder@surfeu.de,+49 030 2141444,Berlin,Germany,10779,3
39,Camille,Bernard,camille.bernard@yahoo.fr,+33 01 49 70 65 65,Paris,France,75009,4
40,Dominique,Lefebvre,dominiquelefebvre@gmail.com,+33 01 47 42 71 71,Paris,France,75002,4
41,Marc,Dubois,marc.dubois@hotmail.com,+33 04 78 30 30 30,Lyon,France,69002,5
42,Wyatt,Girard,wyatt.girard@yahoo.fr,+33 05 56 96 96 96,Bordeaux,France,33000,3
43,Isabelle,Mercier,isabelle_mercier@apple.fr,+33 03 80 73 66 99,Dijon,France,21000,3
44,Terhi,Hämäläinen,terhi.hamalainen@apple.fi,+358 09 870 2000,Helsinki,Finland,00530,3
45,Ladislav,Kovács,ladislav_kovacs@apple.hu,,Budapest,Hungary,H-1073,3
46,Hugh,O'Reilly,hughoreilly@apple.ie,+353 01 6792424,Dublin,Ireland,,3
47,Lucas,Mancini,lucas.mancini@yahoo.it,+39 06 39733434,Rome,Italy,00192,5
48,Johannes,Van der Berg,johavanderberg@yahoo.nl,+31 020 6223130,Amsterdam,Netherlands,1016,5
49,Stanisław,Wójcik,stanisław.wójcik@wp.pl,+48 22 828 37 39,Warsaw,Poland,00-358,4
50,Enrique,Muñoz,enrique_munoz@yahoo.es,+34 914 454 454,Madrid,Spain,28015,5
51,Joakim,Johansson,joakim.johansson@yahoo.se,+46 08-651 52 52,Stockholm,Sweden,11230,5
52,Emma,Jones,emma_jones@hotmail.com,+44 020 7707 0707,London,United Kingdom,N1 5LH,3
53,Phil,Hughes,phil.hughes@gmail.com,+44 020 7976 5722,London,United Kingdom,SW1V 3EN,3
54,Steve,Murray,steve.murray@yahoo.uk,+44 0131 315 3300,Edinburgh ,United Kingdom,EH4 1HH,5
55,Mark,Taylor,mark.taylor@yahoo.au,+61 (02) 9332 3633,Sidney,Australia,2010,4
56,Diego,Gutiérrez,diego.gutierrez@yahoo.ar,+54 (0)11 4311 4333,Buenos Aires,Argentina,1106,4
57,Luis,Rojas,luisrojas@yahoo.cl,+56 (0)2 635 4444,Santiago,Chile,,5
58,Manoj,Pareek,manoj.pareek@rediff.com,+91 0124 39883988,Delhi,India,110017,3
59,Puja,Srivastava,puja_srivastava@yahoo.in,+91 080 22289999,Bangalore,India,560001,3
